,M15,M5,pct_diff,flag_gt_15pct
Candidate Trades,8107.0,26773.0,69.71949351959064,True
Positive Labels,20934.0,115685.0,81.90430911526991,True
Mean Probability,0.45051559805870056,0.8283275961875916,45.611422324667764,True
Median Probability,5.327006147126667e-05,0.9999033212661743,99.99467247879487,True
Threshold,0.15,0.15,0.0,False
Accepted Trades,582.0,2418.0,75.93052109181141,True
Rejected Trades,7139.0,23570.0,69.71149766652525,True
OOS Trades,243.0,1066.0,77.20450281425892,True
Win Rate,0.9834710743801653,0.9784576959100842,0.5097636931763133,False
PF,79.59834719824981,59.5740392863172,25.156688067981513,True
Brier Score,3.0745712642499257e-09,4.217244775617246e-09,27.095261768391804,True
Calibration Error,5.5384696643419895e-05,6.486774708734205e-05,14.619053180856698,False
